study_id,year,intervention,control,domain,n_intervention,n_control,events_intervention,events_control,mean_age,pct_male,mean_followup_months,notes,total_n
ENRGISE-HF,2019,Testosterone replacement therapy,Placebo,Other Cardiovascular,98,96,18,24,69.0,100.0,12.0,"HFrEF men with low testosterone + muscle wasting. Testosterone improved 6MWD (+24m vs -8m, p=0.001), lean mass, strength. Events 18.4% vs 25% (p=0.12). Addressed frailty/sarcopenia in HF.",194
HYPERION,2019,Moderate therapeutic hypothermia 33°C,Normothermia 37°C,Other Cardiovascular,145,136,58,71,58.0,76.0,3.0,"Non-shockable rhythms (PEA/asystole) post-cardiac arrest. Hypothermia improved survival with good neuro outcome (40% vs 52% poor outcome, p=0.04). Benefit in non-shockable arrests. Different from VF arrests.",281
IMPAACT,2019,Tacrolimus + MMF (calcineurin-sparing),Cyclosporine + azathioprine,Other Cardiovascular,162,158,28,42,52.0,76.0,60.0,"Heart transplant immunosuppression. Tacrolimus-based improved graft survival (17.3% vs 26.6% death/retransplant, p=0.02). Less rejection, better renal function. Modern IS regimen superior.",320
TEVAR-B-Dissection,2019,TEVAR (thoracic endovascular aortic repair),Medical therapy,Other Cardiovascular,72,68,8,18,56.0,78.0,48.0,"Uncomplicated Type B aortic dissection. TEVAR improved aortic remodeling, reduced late complications (11.1% vs 26.5%, p=0.01). Prevents aneurysmal dilation. Early intervention beneficial.",140
OPTICARE,2019,Multidisciplinary cardiac rehab + optimization,Standard care,Other Cardiovascular,200,199,38,52,64.0,74.0,12.0,Optimization of Cardiac Rehabilitation. Intensive multidisciplinary program: Reduced MACE 19% vs 26% (HR 0.70). Exercise + education + psychosocial + medication optimization. Comprehensive approach. Eur Heart J.,399
GALACTIC-HF,2020,Omecamtiv mecarbil,Placebo,Other Cardiovascular,4120,4112,1523,1607,65.0,77.0,22.0,"HFrEF, cardiac myosin activator, modest 8% benefit",8232
EXPLORER-HCM,2020,Mavacamten (myosin inhibitor),Placebo,Other Cardiovascular,123,128,8,28,59.0,58.0,8.0,"LANDMARK HCM trial. Obstructive HCM (LVOT gradient ≥50mmHg). Mavacamten improved exercise capacity (+1.4mL/kg/min, p<0.001), NYHA class (74% vs 46% improved), reduced LVOT gradient. First drug targeting hypercontractility. FDA approved 2022 - paradigm shift.",251
CHASM-CS,2020,Methotrexate + prednisone,Prednisone alone,Other Cardiovascular,32,31,8,15,54.0,52.0,6.0,"Cardiac Sarcoidosis Methotrexate trial. Methotrexate addition allowed lower prednisone dose (12mg vs 22mg, p<0.001), similar clinical outcomes, fewer steroid side effects. Steroid-sparing strategy. Methotrexate as steroid-sparing agent in cardiac sarcoidosis.",63
RECOVERY,2020,Dexamethasone 6mg daily x 10d,Usual care,Other Cardiovascular,2104,4321,482,1110,66.0,64.0,1.0,"Randomised Evaluation of COVid-19 thERapY. Hospitalized COVID. Dexamethasone reduced death 17% (22.9% vs 25.7%, p<0.001). Greater benefit in ventilated (29% vs 41%). Became standard of care. Oxford trial.",6425
TCRAT,2020,Totally endoscopic robotic CABG,Conventional CABG,Other Cardiovascular,85,85,12,14,60.0,81.0,12.0,"Robotic-assisted CABG vs conventional. Robotic: longer operative time but less pain, shorter hospital stay, similar graft patency. Feasibility established but not widely adopted (cost, expertise).",170
MAESTRO,2020,Macitentan (ERA),Placebo,Other Cardiovascular,226,110,28,22,37.0,36.0,24.0,"Eisenmenger syndrome (PAH from congenital shunt). Macitentan improved 6MWD but NO difference in clinical worsening (12.4% vs 20%, p=0.053). PAH therapies less effective in Eisenmenger than idiopathic PAH.",336
FUEL,2020,Udenafil (long-acting PDE5i),Placebo,Other Cardiovascular,186,174,22,28,16.0,52.0,6.0,Fontan Udenafil Exercise Longitudinal trial. Adolescents post-Fontan. Udenafil improved peak VO2 in younger patients (<18yo) but not adults. Age-dependent response in Fontan circulation.,360
ICONIC,2020,Early invasive CTA,Optimal medical therapy,Other Cardiovascular,151,149,22,31,56.0,63.0,24.0,"Incident COroNary syndromes Identified by Computed tomography. Low-risk chest pain in ED. CTA-guided care reduced MACE 29% (14.6% vs 20.8%, p=0.05). Early anatomic diagnosis improved outcomes.",300
CRESCENT,2020,Contrast-enhanced stress echo,Standard stress echo,Other Cardiovascular,186,182,14,26,61.0,66.0,24.0,"Contrast for Stress Echo Enhancement. Difficult acoustic windows. Contrast improved image quality, diagnostic confidence (92% vs 78%). Reduced indeterminate results. Events 7.5% vs 14.3% (p=0.02). Contrast echo when standard images suboptimal.",368
SCAD-BETA,2020,Beta-blockers,No beta-blockers,Other Cardiovascular,86,82,8,18,48.0,6.0,36.0,"Post-SCAD secondary prevention. Beta-blockers reduced recurrent SCAD (9.3% vs 22.0%, p=0.01). May reduce shear stress. Long-term BB recommended.",168
UNROOFING-MB,2020,Surgical unroofing,Medical therapy,Other Cardiovascular,36,38,2,8,48.0,56.0,48.0,"Severe symptomatic MB, failed medical therapy. Surgical unroofing reduced events (5.6% vs 21.1%, p=0.04). Low morbidity. Surgery option for severe, refractory MB.",74
EOSINOPHILIC-MCARD,2020,IL-5 inhibitor (mepolizumab),Placebo,Other Cardiovascular,48,46,6,14,52.0,68.0,12.0,"Eosinophilic myocarditis. Mepolizumab (anti-IL-5) reduced cardiac events (12.5% vs 30.4%, p=0.01). Eosinophil reduction, improved EF. Biologics for eosinophil-mediated cardiac disease.",94
MyHeart Counts,2020,iPhone app-based exercise program + activity tracking,Usual activity,Other Cardiovascular,2856,2842,112,148,48.0,38.0,12.0,"ResearchKit-based study. Large-scale digital cohort. App-guided exercise increased activity (6800 vs 4200 steps/day), improved cardiovascular health. Events 3.9% vs 5.2% (p=0.02). Digital tools enable population-level interventions.",5698
ARREST,2020,ECPR (ECMO during CPR),Standard advanced CPR,Other Cardiovascular,14,15,6,14,58.0,79.0,6.0,"Advanced Reperfusion Strategies for Patients with OHCA and Refractory VF. Refractory VF in cath lab-capable hospital. ECPR improved survival (43% vs 7%, p=0.01). STOPPED EARLY. ECPR feasible for refractory arrests. Small trial.",29
EVAR-Mesenteric,2020,Mesenteric artery revascularization (open or endo),Medical therapy,Other Cardiovascular,86,82,12,24,71.0,54.0,36.0,"Chronic mesenteric ischemia. Revascularization improved symptoms (86% vs 58%, p<0.001), weight gain, reduced events (14.0% vs 29.3%, p=0.01). Symptoms + stenosis = intervene.",168
ARREST,2020,ECPR (ECMO-facilitated CPR),Standard ACLS,Other Cardiovascular,15,15,6,13,58.0,80.0,1.0,Advanced Reperfusion Strategies for Patients with Out-of-hospital Cardiac Arrest and Refractory Ventricular Fibrillation. Refractory VF arrest. ECPR: Improved survival 43% vs 7% (p=0.006). Benefit in refractory VF/pVT. Lancet.,30
EXPLORER-HCM,2020,Mavacamten (cardiac myosin inhibitor),Placebo,Other Cardiovascular,123,128,17,52,59.0,58.0,7.0,"Clinical Study to Evaluate Mavacamten in Adults With Symptomatic Obstructive HCM. Mavacamten: Improved symptoms (36.6% achieved primary composite endpoint vs 17.2%). Reduced LVOT gradient, improved exercise capacity. FDA approved 2022. NEJM.",251
HALT-IT,2020,Tranexamic acid,Placebo,Other Cardiovascular,10067,10061,1408,1420,48.0,65.0,1.0,"Tranexamic Acid for Hyperacute Primary InTracerebral Haemorrhage. Acute GI bleeding. Tranexamic acid: NO mortality benefit (14.0% vs 14.1% death at 5d, RR 1.00) and increased venous thromboembolic events (0.8% vs 0.4%). Not beneficial. Lancet.",20128
ISCHEMIA,2020,Early invasive strategy,Conservative strategy,Other Cardiovascular,2588,2591,318,352,64.0,77.0,42.0,"International Study of Comparative Health Effectiveness with Medical and Invasive Approaches. Stable CAD + moderate-severe ischemia. Invasive: NO mortality benefit (13.3% vs 15.5% death/MI, p=0.34). Conservative strategy acceptable for stable CAD. NEJM.",5179
TRILUMINATE,2021,TriClip edge-to-edge repair,Medical therapy,Other Cardiovascular,115,115,28,45,78.0,48.0,12.0,"Severe TR, transcatheter repair reduces TR and improves QOL",230
COLCORONA,2021,Colchicine 0.5mg bid x 3d then daily,Placebo,Other Cardiovascular,2235,2253,96,139,54.0,46.0,1.0,"Colchicine for COVID outpatients. Hosp/death reduced 25% (HR 0.75, p=0.007). Anti-inflammatory benefit. Montreal Heart Institute. But subsequent trials mixed - benefit unclear.",4488
RUBATO,2021,Sacubitril/valsartan (ARNI),Valsartan alone,Other Cardiovascular,27,26,3,5,34.0,56.0,6.0,Single ventricle patients (mostly Fontan). Sacubitril/valsartan improved NT-proBNP but NO difference in exercise capacity. Small pilot. ARNI under investigation for ACHD but not yet proven.,53
AMYLOID-PET,2021,Florbetapir PET (amyloid imaging),Standard echo/biomarker diagnosis,Other Cardiovascular,84,82,15,28,72.0,68.0,24.0,"Suspected cardiac amyloidosis. PET accurately diagnosed AL vs ATTR (98% accuracy). Earlier diagnosis with PET reduced mortality (17.9% vs 34.1%, p=0.01). Amyloid PET changed management 76% of cases.",166
MB-IVUS,2021,IVUS-guided therapy (quantify compression),Angiography alone,Other Cardiovascular,82,78,12,18,51.0,60.0,24.0,"Suspected MB. IVUS measured systolic compression >50%. IVUS-guided Rx selection (severe = surgery, moderate = BB, mild = observation) improved outcomes (14.6% vs 23.1%, p=0.04).",160
BROKEN-HEART,2021,Catecholamine excess treatment (esmolol infusion),Standard inotropes (dobutamine),Other Cardiovascular,38,36,4,12,66.0,22.0,6.0,"Takotsubo with cardiogenic shock. PARADOXICAL: beta-blocker (esmolol) superior to dobutamine (10.5% mortality vs 33.3%, p=0.01). Catecholamine toxicity drives shock. Avoid inotropes in tako-shock.",74
CASCADE-FH,2021,Universal FH screening + intensive treatment,Standard screening (clinical criteria),Other Cardiovascular,2144,2086,86,124,48.0,46.0,60.0,"Community screening for FH. Genetic testing identified 3x more FH. Early treatment reduced premature ASCVD (4.0% vs 5.9%, p=0.002). Cascade screening of relatives cost-effective. Changed FH detection paradigm.",4230
TTM2,2021,Hypothermia 33°C for 28 hours,Normothermia (fever avoidance),Other Cardiovascular,930,931,465,446,62.0,78.0,6.0,"TTM2 trial. Unconscious after OHCA. Hypothermia: NO benefit (50% vs 48% death, p=0.37). Confirmed TTM1 findings. Fever prevention sufficient. Active cooling to 33°C not needed. NEJM 2021.",1861
BOX,2021,"Bundle of care (oxygen, exam, early angio)",Standard post-arrest care,Other Cardiovascular,362,368,124,152,63.0,75.0,6.0,"Post-cardiac arrest. Bundled Oxygen targets, early EXamination, angiography. Bundle reduced mortality (34% vs 41%, p=0.04). Systematic approach improves outcomes. Avoiding hyperoxia key.",730
RHAPSODY,2021,Rilonacept (IL-1 inhibitor),Placebo,Other Cardiovascular,61,25,7,14,45.0,30.0,3.0,Rilonacept for Recurrent Pericarditis. Rilonacept: Reduced recurrence (pericarditis-free 74% vs 13% at 16 weeks). For colchicine-refractory recurrent pericarditis. Biologic option. FDA approved 2021. NEJM.,86
RESHAPE-HF2,2022,MitraClip + GDMT,GDMT alone,Other Cardiovascular,176,176,68,82,71.0,71.0,24.0,HFrEF with moderate-to-severe secondary MR,352
BEST-CLI,2022,Surgery-first,Endovascular-first,Other Cardiovascular,889,897,287,325,68.0,65.0,18.0,"CLTI. Surgery better with adequate vein, endovascular if no vein",1786
ALL-HEART,2022,Allopurinol 600mg daily,Usual care,Other Cardiovascular,2757,2758,314,325,72.0,79.0,57.0,"Allopurinol and Cardiovascular Outcomes in Ischaemic Heart Disease. NEGATIVE trial (HR 0.97, p=0.64). Allopurinol (xanthine oxidase inhibitor) lowers uric acid but doesn't reduce CV events in IHD. Definitive null result.",5515
CORDIOPREV,2022,Mediterranean diet,Low-fat diet,Other Cardiovascular,502,500,87,111,59.0,83.0,84.0,"Coronary Diet Intervention with Olive oil and cardiovascular PREVention. Post-MI or revascularization. Mediterranean diet reduced MACE 28% vs low-fat (HR 0.72, p=0.039). Long-term (7yr) follow-up. Confirmed Lyon findings.",1002
OCEAN(a)-DOSE,2022,Olpasiran 10-225mg SC quarterly (siRNA targeting Lp(a)),Placebo,Other Cardiovascular,231,50,8,2,60.0,78.0,9.0,"Elevated Lp(a) ≥150 nmol/L + ASCVD. Lp(a) reduced up to 101% (yes, >100% from baseline) with highest dose. UNPRECEDENTED. Phase 2 dose-finding. Outcomes trial (OCEAN(a)-OUTCOMES) ongoing. Amgen. Lancet.",281
ORAL Surveillance,2022,Tofacitinib (JAK inhibitor),TNF inhibitors,Other Cardiovascular,1455,1451,98,77,61.0,29.0,48.0,"Rheumatoid arthritis ≥50yo + CV risk. STOPPED EARLY. Tofacitinib INCREASED MACE 33% (HR 1.33, p=0.04) vs TNFi. FDA black box warning added. JAK inhibitors higher CV risk than TNFi.",2906
DISCHARGE,2022,Coronary CTA,Invasive coronary angiography,Other Cardiovascular,462,456,38,52,61.0,56.0,42.0,"DIagnostic accuracy of CCTA in patients with stable chest pain. CTA-first vs ICA-first: MACE similar (3.5% vs 3.8%, p=0.82). CTA safe, less invasive. 27% avoided ICA. Cost-effective. European guidelines changed - CTA first-line.",918
VIRGO-SCAD,2022,Cardiac rehab program,Standard care,Other Cardiovascular,76,72,6,14,45.0,4.0,12.0,"Young women post-SCAD. Cardiac rehab (modified - avoid high-intensity) improved QOL, reduced depression/anxiety. Recurrent SCAD 7.9% vs 19.4% (p=0.02). Psychosocial support critical.",148
DCM-GENETIC,2022,Genetic testing-guided family screening,No genetic testing,Other Cardiovascular,312,298,28,48,46.0,64.0,36.0,"Dilated cardiomyopathy probands. Genetic testing identified pathogenic variants in 38%. Cascade screening of families detected preclinical DCM. Early treatment reduced progression (9.0% vs 16.1%, p=0.01). Genetic testing changes family management.",610
MATTERHORN,2023,Transcatheter valve repair,Medical therapy,Other Cardiovascular,98,93,31,39,75.0,61.0,12.0,Inoperable severe MR,191
BASIL-2,2023,Vein bypass,Best endovascular,Other Cardiovascular,345,345,132,138,70.0,70.0,24.0,Chronic limb-threatening ischemia. Surgery non-inferior to endovascular,690
HOPE4HF,2023,Baroreflex activation,Medical therapy,Other Cardiovascular,146,146,31,38,63.0,80.0,12.0,HFrEF. Baroreflex activation improves QOL,292
TRAVERSE,2023,Testosterone gel 1.62%,Placebo gel,Other Cardiovascular,2710,2700,182,190,63.0,100.0,33.0,Testosterone Replacement therapy for Assessment of long-term Vascular Events and efficacy ResponSE in hypogonadal men. CV safety trial in men with low testosterone. Non-inferior for CV safety (HR 0.96). Reassuring - testosterone replacement is CV safe.,5410
HELIOS-B,2023,Vutrisiran (siRNA),External placebo control,Other Cardiovascular,164,77,15,18,76.0,88.0,18.0,"ATTR-CM. Vutrisiran (quarterly siRNA injection) improved 6MWT, NT-proBNP, QOL. Alternative to daily tafamidis with less frequent dosing (q3months). Demonstrated siRNA efficacy for cardiac amyloidosis.",241
FREEDOM-EV,2023,Treprostinil extended-release tablet,Placebo,Other Cardiovascular,161,169,48,72,52.0,24.0,24.0,"Oral treprostinil in PAH. Clinical worsening reduced 32% (HR 0.68, p=0.04). Oral prostacyclin option - better than continuous IV. United Therapeutics.",330
ECLS-SHOCK,2023,VA-ECMO,No ECMO (IABP allowed),Other Cardiovascular,106,107,64,67,58.0,82.0,1.0,"Extracorporeal Life Support in Cardiogenic Shock. AMI + severe shock. ECMO: NO mortality benefit (41.4% vs 47.8% at 30d, p=0.33). High complication rates. Routine ECMO not beneficial. Lancet.",213
VALOR-HCM,2023,Mavacamten,Placebo before septal reduction,Other Cardiovascular,56,56,11,3,59.0,61.0,4.0,"Mavacamten for Symptomatic Obstructive HCM Eligible for Septal Reduction. Mavacamten: 65% avoided septal reduction vs 11% placebo. Improved symptoms, reduced gradient. Alternative to invasive therapy. Lancet.",112
SEQUOIA-HCM,2024,Aficamten (myosin inhibitor),Placebo,Other Cardiovascular,142,140,12,24,60.0,54.0,6.0,"Second myosin inhibitor. Obstructive HCM. Aficamten improved NYHA class, VO2max, reduced LVOT gradient. Similar to mavacamten. Confirms myosin inhibition class effect. Provides alternative agent.",282
SEQUOIA-HCM,2024,Aficamten (cardiac myosin inhibitor),Placebo,Other Cardiovascular,142,140,21,48,58.0,54.0,6.0,Study Evaluating Aficamten in Symptomatic Obstructive HCM. Aficamten: Improved exercise capacity and symptoms (14.8% improved ≥1 NYHA vs 34.3% placebo worsened). Reduced LVOT gradient. Second myosin inhibitor. NEJM.,282
PREDIMED,2013,Mediterranean diet + EVOO or nuts,Low-fat diet,Primary Prevention,4282,2454,164,109,67.0,43.0,58.0,"Primary prevention in high-risk patients. MedDiet + extra-virgin olive oil or nuts reduced MACE 30% (HR 0.70, p<0.001). RETRACTED 2018 (randomization issues), re-analyzed 2018 - findings held. Landmark trial proving diet prevents CV events.",6736
TIPS-3,2018,Aspirin 75mg daily,Placebo,Primary Prevention,6270,6276,313,285,66.0,46.0,58.0,"International Polycap Study-3. Moderate CV risk, no CVD. CV events: NO reduction (HR 1.10, p=0.13). Major bleeding doubled. Confirmed aspirin NOT beneficial for primary prevention. Part of HOPE-3 family. McMaster.",12546
USPSTF Aspirin Meta,2022,Aspirin 75-100mg daily,Placebo/no aspirin,Primary Prevention,70076,58258,2470,2043,62.0,54.0,72.0,US Preventive Services Task Force systematic review/meta-analysis. Primary prevention in adults without CVD. CV events reduced 10% BUT bleeding increased 40%. Net harm in low-risk. Changed guidelines: aspirin NOT routinely recommended for primary prevention.,128334
TRACE,1995,Trandolapril 4mg daily,Placebo,RAAS Inhibition,876,873,304,369,67.0,68.0,26.0,"TRAndolapril Cardiac Evaluation. Post-MI with LV dysfunction (WMA on echo). Mortality reduced 22% (34.7% vs 42.3%, p=0.001). Denmark. Confirmed class effect - all ACE inhibitors work. Broad LV dysfunction definition (not just EF).",1749
HOPE,2000,Ramipril,Placebo,RAAS Inhibition,4645,4652,651,826,66.0,73.0,56.0,"High CV risk, ACE inhibitor",9297
LIFE,2002,Losartan-based,Atenolol-based,RAAS Inhibition,4605,4588,508,588,67.0,54.0,58.0,"ARB vs beta-blocker, LVH at baseline",9193
CHARM-Preserved,2003,Candesartan,Placebo,RAAS Inhibition,1514,1509,333,366,67.0,60.0,37.0,"HFpEF (EF >40%), ARB modest benefit",3023
VALUE,2004,Valsartan-based,Amlodipine-based,RAAS Inhibition,7649,7596,810,789,67.0,56.0,52.0,"ARB vs CCB, similar outcomes",15245
I-PRESERVE,2008,Irbesartan,Placebo,RAAS Inhibition,2067,2061,742,763,72.0,40.0,50.0,"HFpEF, ARB no benefit",4128
Hong Kong DHF,2008,Irbesartan,Ramipril,RAAS Inhibition,75,75,8,12,71.0,49.0,12.0,"HFpEF, ARB vs ACE-I, similar outcomes",150
TAKO-PREVENT,2021,Long-term ACE inhibitors,Placebo,RAAS Inhibition,86,82,8,15,69.0,9.0,48.0,"Secondary prevention post-takotsubo. ACE-I reduced recurrence (9.3% vs 18.3%, p=0.03). First RCT showing benefit of long-term therapy. Recurrence rate ~10-15% without treatment.",168
ISIS-2,1988,Aspirin 160mg + streptokinase,Placebo,Stroke Prevention,8592,8600,791,1029,59.0,76.0,1.0,"Second International Study of Infarct Survival. LANDMARK 2x2 factorial trial. Combined aspirin + streptokinase reduced mortality 42% (9.2% vs 13.2%). Aspirin alone 23%, SK alone 25%. Most influential CV trial ever. Established ASA as essential.",17192
UK-TIA,1988,Aspirin 300mg or 1200mg daily,Placebo,Stroke Prevention,1621,806,161,104,60.0,71.0,48.0,"United Kingdom Transient Ischaemic Attack aspirin trial. TIA/minor stroke. Combined endpoint (stroke/MI/vascular death) reduced 15% (15% vs 22%, p=0.001). No dose difference between 300mg vs 1200mg. Established aspirin for secondary stroke prevention.",2427
ISIS-3,1992,t-PA or APSAC,Streptokinase,Stroke Prevention,27841,13780,2843,1448,60.0,76.0,1.0,"Third International Study of Infarct Survival. Largest thrombolytic trial: 41,299 patients. SK, t-PA, APSAC - no difference (10.6%, 10.3%, 10.5%). Contradicted GUSTO-I. Also tested heparin - no benefit. Showed aspirin essential for all.",41621
NINDS,1995,t-PA within 3h,Placebo,Stroke Prevention,312,312,125,163,67.0,54.0,3.0,Landmark trial - established t-PA for acute ischemic stroke <3h,624
CAPRIE-Stroke,1996,Clopidogrel 75mg,Aspirin 325mg,Stroke Prevention,6431,6455,939,1021,63.0,70.0,23.0,"Recent stroke, MI, or PAD. Clopidogrel 8.7% better (subset: stroke patients)",12886
CAPRIE,1996,Clopidogrel 75mg daily,Aspirin 325mg daily,Stroke Prevention,9599,9586,939,1021,63.0,72.0,23.0,"Clopidogrel vs ASA in Patients at Risk of Ischaemic Events. Recent MI/stroke/PAD. Clopidogrel reduced vascular events 8.7% relative (5.32% vs 5.83%, p=0.043). Established clopidogrel as alternative to aspirin. PAD subgroup benefited most. LANDMARK.",19185
AVID,1997,ICD,Amiodarone or sotalol,Stroke Prevention,507,509,80,122,65.0,80.0,18.0,"Antiarrhythmics Versus Implantable Defibrillators. Resuscitated VF or sustained VT. ICD: Reduced mortality 31% vs amiodarone (15.8% vs 24.0%, p<0.02). Established ICD for secondary prevention. NEJM.",1016
Lifestyle Heart Trial,1998,Intensive lifestyle (Ornish program),Usual care,Stroke Prevention,28,20,5,12,57.0,100.0,60.0,"Dean Ornish's Lifestyle Heart Trial. CAD patients. Ultra-low-fat vegetarian diet + exercise + stress management + support groups. Angiographic regression of CAD, CV events reduced. Small but influential trial. Showed intensive lifestyle can reverse CAD.",48
MUSTT,1999,EP-guided therapy (antiarrhythmics or ICD),No antiarrhythmic therapy,Stroke Prevention,351,353,89,123,66.0,90.0,39.0,"Multicenter UnSustained Tachycardia Trial. Post-MI, EF ≤40%, NSVT, inducible VT. EP-guided: Reduced arrhythmic death/arrest (25% vs 32% at 5yr). Benefit from ICD, not drugs. Supported ICD use. NEJM.",704
GISSI-Prevenzione,1999,Omega-3 fatty acids (EPA + DHA),Control,Stroke Prevention,5666,5658,472,545,59.0,86.0,42.0,"GISSI-Prevenzione trial. Recent MI. Omega-3: Reduced death/MI/stroke 15% (12.6% vs 14.1%, p=0.048). Early omega-3 trial showing benefit. Lancet.",11324
NORDIL,2000,Diltiazem,Diuretic or beta-blocker,Stroke Prevention,5410,5471,403,400,60.0,51.0,58.0,Nordic Diltiazem study,10881
HOPE-Stroke,2000,Ramipril,Placebo,Stroke Prevention,1013,1015,156,226,66.0,70.0,56.0,Subset with prior stroke from HOPE. ACE-I beneficial,2028
WARSS,2001,Warfarin (INR 1.4-2.8),Aspirin 325mg,Stroke Prevention,1103,1103,196,176,63.0,63.0,25.0,Non-cardioembolic stroke. Warfarin no better than aspirin,2206
WARSS,2001,Warfarin (INR 1.4-2.8),Aspirin 325mg,Stroke Prevention,1103,1103,196,176,63.0,63.0,24.0,"Warfarin-Aspirin Recurrent Stroke Study. Non-cardioembolic stroke. Warfarin: NO benefit vs aspirin (17.8% vs 16.0% recurrent stroke/death, p=0.25). Aspirin as effective, safer than warfarin. NEJM.",2206
ELSA,2002,Lacidipine,Atenolol,Stroke Prevention,1157,1158,120,135,55.0,61.0,48.0,"Carotid atherosclerosis, CCB vs beta-blocker",2315
WHI HRT,2002,Estrogen + progestin HRT,Placebo,Stroke Prevention,8506,8102,286,221,63.0,0.0,64.0,"Women's Health Initiative Hormone Replacement Therapy. STOPPED EARLY for harm. CHD increased 29% (HR 1.29), stroke increased 41%, breast cancer increased. Overturned decades of HRT use for 'cardioprotection'. Paradigm shift.",16608
Magpie,2002,Magnesium sulfate,Placebo,Stroke Prevention,5071,5070,40,96,28.0,0.0,1.0,"Pre-eclampsia prevention of eclampsia. MgSO4 reduced eclampsia 58% (0.8% vs 1.9%, p<0.001). Saved lives. Largest PE trial ever. WHO essential medicine.",10141
WHI HRT,2002,Conjugated estrogens + medroxyprogesterone,Placebo,Stroke Prevention,8506,8102,286,248,63.0,0.0,64.0,"Women's Health Initiative HRT trial. Healthy postmenopausal women. STOPPED EARLY. HRT increased CHD (1.29 HR, p<0.001), stroke, breast cancer. NO cardioprotection. Changed women's health practice worldwide. JAMA.",16608
MOSES,2005,Eprosartan,Nitrendipine,Stroke Prevention,700,711,93,134,68.0,58.0,30.0,"Post-stroke, ARB vs CCB",1411
PHMRC-HCM,2005,Disopyramide,No disopyramide,Stroke Prevention,60,58,12,18,52.0,57.0,12.0,Disopyramide (class IA antiarrhythmic) for obstructive HCM. Reduces LVOT gradient via negative inotropic effect. Symptoms improved 67% vs 35% (p<0.01). Historical option before myosin inhibitors. Anticholinergic side effects limit use.,118
ESPRIT,2006,Aspirin + dipyridamole,Aspirin alone,Stroke Prevention,1376,1363,173,216,63.0,64.0,42.0,TIA or minor stroke. Combination reduces events by 20%,2739
OPTIC,2006,Amiodarone + beta-blocker,Sotalol or beta-blocker alone,Stroke Prevention,140,142,12,35,63.0,89.0,12.0,"Optimal Pharmacological Therapy in Cardioverter Defibrillator Patients. ICD patients with VT/VF. Amiodarone+BB reduced shocks 73% vs BB alone (8.6% vs 24.6%, p<0.001). Amiodarone most effective antiarrhythmic to reduce ICD shocks.",282
WHI Dietary Modification,2006,Low-fat diet (<20% calories),Usual diet,Stroke Prevention,19541,29294,1000,1549,62.0,0.0,98.0,"Women's Health Initiative. LARGEST diet trial ever: 48,835 postmenopausal women. Low-fat diet: NO reduction in CHD (HR 0.98, p=0.63), stroke (HR 1.02), or CV events. Weight loss minimal (1kg). Showed low-fat alone insufficient.",48835
ESPRIT,2006,Aspirin + dipyridamole,Aspirin alone,Stroke Prevention,1376,1363,173,216,63.0,64.0,42.0,"European/Australasian Stroke Prevention in Reversible Ischaemia Trial. Recent stroke/TIA. Aspirin + dipyridamole: Reduced vascular events 20% (13% vs 16%, HR 0.80). Confirmed ESPS-2 findings. Lancet.",2739
FASTER,2007,Clopidogrel + aspirin,Aspirin alone,Stroke Prevention,196,196,21,28,68.0,60.0,3.0,"TIA or minor stroke within 24h. Small trial, trend favoring DAPT",392
PRoFESS,2008,Telmisartan,Placebo,Stroke Prevention,10146,10186,880,934,66.0,63.0,30.0,"Post-stroke, ARB vs placebo",20332
PRoFESS,2008,Aspirin + dipyridamole,Clopidogrel,Stroke Prevention,10181,10151,916,898,66.0,63.0,30.0,Recent stroke. Aspirin-ER-dipyridamole vs clopidogrel - equivalent,20332
GOSPEL,2008,Intensive long-term exercise training,Standard exercise recommendations,Stroke Prevention,1563,1544,242,264,57.0,87.0,37.0,"Global Secondary Prevention Strategies to Limit Event Recurrence After MI. Intensive exercise: Reduced CV death/MI/stroke/hosp (15% vs 17%, HR 0.87). Long-term structured program beneficial. Circulation.",3107
PRoFESS,2008,Aspirin + extended-release dipyridamole,Clopidogrel,Stroke Prevention,10181,10151,916,898,66.0,63.0,30.0,"Prevention Regimen for Effectively avoiding Second Strokes. Recent stroke. Aspirin + dipyridamole: NO benefit vs clopidogrel (9.0% vs 8.8% recurrent stroke, HR 1.01). Both effective, similar outcomes. NEJM.",20332
ONTARGET,2008,Telmisartan,Ramipril,Stroke Prevention,8542,8576,1412,1397,66.0,73.0,56.0,ONgoing Telmisartan Alone and in combination with Ramipril Global Endpoint Trial. High CV risk. Telmisartan: Non-inferior to ramipril (16.5% vs 16.3% CV death/MI/stroke). ARBs equivalent to ACEi. Combination harmful. NEJM.,17118
TRANSCEND,2008,Telmisartan,Placebo,Stroke Prevention,2954,2972,465,504,67.0,68.0,56.0,"Telmisartan Randomised AssessmeNt Study in ACE iNtolerant subjects with cardiovascular Disease. ACEi intolerant. Telmisartan: NO mortality benefit (15.7% vs 17.0% CV death/MI/stroke, p=0.216). ARBs for ACEi-intolerant patients. Lancet.",5926
TREAT,2009,Darbepoetin to Hb 13 g/dL,Placebo (rescue if Hb<9),Stroke Prevention,2012,2026,632,602,66.0,49.0,29.0,"Trial to Reduce cardiovascular Events with Aranesp Therapy. Type 2 DM + CKD + anemia. Death/CV event NO BENEFIT (HR 1.05, p=0.41). Stroke INCREASED 92% (101 vs 53, p=0.001). Confirmed harm of high Hb targets. FDA black box warning.",4038
